timestamp_utc,measurement_index,pair,impedance_data,e_start_timestamp,second_g_timestamp
2025-12-10T14:29:48.840+01:00,119,"6,9",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.857+01:00,120,"7,1",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.882+01:00,121,"7,2",24052,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.900+01:00,122,"7,3",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.927+01:00,123,"7,4",23358,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.946+01:00,124,"7,5",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.972+01:00,125,"7,6",23240,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:48.991+01:00,126,"7,8",23897,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:49.013+01:00,127,"7,9",23595,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:49.020+01:00,128,"8,1",25431,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:49.039+01:00,129,"8,2",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:49.045+01:00,130,"8,3",24398,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:49.080+01:00,131,"8,4",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:49.086+01:00,132,"8,5",23897,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:49.120+01:00,133,"8,6",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:49.126+01:00,134,"8,7",23897,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:49.159+01:00,135,"8,9",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:49.165+01:00,136,"9,1",25121,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:49.200+01:00,137,"9,2",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:49.206+01:00,138,"9,3",24178,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:49.240+01:00,139,"9,4",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:49.246+01:00,140,"9,5",23745,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:49.280+01:00,141,"9,6",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:49.286+01:00,142,"9,7",23595,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
2025-12-10T14:29:49.320+01:00,143,"9,8",9999999,2025-12-10T14:29:43.123+01:00,2025-12-10T14:29:43.200+01:00
